operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918774091|2131|100|9
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918776222|56|100|9
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918776278|1560|12|9
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918777839|277|32|9
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918778117|191|100|9
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918778309|1762|100|9
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918780071|1666|100|9
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918781737|7|1|9
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918781745|1407|100|9
LdbcSnbBiQuery2TopTags|1602918420005|1602918783152|153|1|9
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918783306|2|1|9
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918783309|616|53|9
LdbcSnbBiQuery21Zombies|1602918420005|1602918783925|56|5|9
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918783982|106|100|9
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918784089|6421|2|9
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918790511|111|100|10
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918790622|7725|164|10
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918798348|1601|100|10
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918799950|26|20|10
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918799976|1242|100|10
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918801218|1437|3|10
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918802656|12084|364|10
LdbcSnbBiQuery10TagPerson|1602918420005|1602918814740|110|100|10
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918814851|40121|100|10
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918854973|131|100|10
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918855105|182|100|10
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918855287|2201|100|10
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918857489|1101|100|10
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918858591|1250|39|10
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918859841|272|33|10
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918860114|24|100|10
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918860138|1555|12|10
LdbcSnbBiQuery21Zombies|1602918420005|1602918861694|25|8|10
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918861719|1243|100|10
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918862963|1621|100|10
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918864584|8|1|10
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918864592|600|53|10
LdbcSnbBiQuery2TopTags|1602918420005|1602918865193|163|1|10
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918865356|2|1|10
LdbcSnbBiQuery2TopTags|1602918420005|1602918865359|140|1|11
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918865499|2|4|11
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918865502|283|33|11
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918865785|12141|364|11
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918877926|1709|100|11
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918879636|121|100|11
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918879757|6319|1|11
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918886076|3265|6|11
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918889342|26|20|11
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918889369|519|100|11
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918889888|1744|39|11
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918891633|106|100|11
LdbcSnbBiQuery10TagPerson|1602918420005|1602918891739|101|100|11
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918891841|25377|100|11
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918917218|769|100|11
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918917987|157|100|11
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918918145|477|100|11
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918918623|553|55|11
LdbcSnbBiQuery21Zombies|1602918420005|1602918919177|49|7|11
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918919226|17|100|11
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918919243|1566|12|11
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918920810|6|1|11
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918920816|1237|100|11
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918922053|1371|100|11
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918923425|1212|100|12
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918924638|1592|100|12
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918926231|862|100|12
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918927094|6227|2|12
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918933322|264|33|12
